title,year,duration,genre,rating,movie_url
Amélie ,2001,2h 2min,Comedy,8.3,http://web.archive.org/web/20210508153024/https://www.imdb.com/title/tt0211915/?ref_=adv_li_tt
Tahraton mieli ,2004,1h 48min,Drama,8.3,http://web.archive.org/web/20210308103419/https://www.imdb.com/title/tt0338013/?ref_=adv_li_tt
Children of Heaven ,1997,1h 29min,Drama,8.3,http://web.archive.org/web/20210206174309/https://www.imdb.com/title/tt0118849/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20211006152923/https://www.imdb.com/title/tt10272386/?ref_=adv_li_tt
Kunniattomat paskiaiset ,2009,2h 33min,Adventure,8.3,http://web.archive.org/web/20210309002041/https://www.imdb.com/title/tt0361748/?ref_=adv_li_tt
A Separation ,2011,2h 3min,,8.3,http://web.archive.org/web/20180415010638/http://www.imdb.com/title/tt1832382/?ref_=adv_li_tt
Sunset Blvd. ,1950,1h 50min,,8.5,http://web.archive.org/web/20180128154415/http://www.imdb.com/title/tt0043014/?ref_=adv_li_tt
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,1964,1h 35min,,8.5,http://web.archive.org/web/20171027155540/http://www.imdb.com/title/tt0057012/?ref_=adv_li_tt
Jagten ,2012,1h 55min,,8.3,http://web.archive.org/web/20180213035853/http://www.imdb.com/title/tt2106476/?ref_=adv_li_tt
High and Low ,1963,2h 23min,Crime,8.4,http://web.archive.org/web/20181218202749/https://www.imdb.com/title/tt0057565/?ref_=adv_li_tt
Witness for the Prosecution ,1957,1h 56min,,8.4,http://web.archive.org/web/20171003104225/http://www.imdb.com/title/tt0051201/?ref_=adv_li_tt
Incendies ,2010,2h 11min,,8.2,http://web.archive.org/web/20171003204449/http://www.imdb.com/title/tt1255953/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20211006091513/https://www.imdb.com/title/tt8579674/?ref_=adv_li_tt
Alien ,1979,1h 57min,Horror,8.4,http://web.archive.org/web/20201111223105/http://www.imdb.com/title/tt0078748/?ref_=adv_li_tt
The Great Dictator ,1940,2h 5min,Comedy,8.5,http://web.archive.org/web/20190118191008/https://www.imdb.com/title/tt0032553/?ref_=adv_li_tt
The Shining ,1980,2h 26min,Drama,8.4,http://web.archive.org/web/20201112015311/http://www.imdb.com/title/tt0081505/?ref_=adv_li_tt
Memento ,2000,1h 53min,Mystery,8.4,http://web.archive.org/web/20201224073754/https://www.imdb.com/title/tt0209144/?ref_=adv_li_tt
Raiders of the Lost Ark ,1981,1h 55min,Action,8.4,http://web.archive.org/web/20200101195559/https://www.imdb.com/title/tt0082971/?ref_=adv_li_tt
Apocalypse Now ,1979,2h 27min,,8.5,http://web.archive.org/web/20180227161738/http://www.imdb.com/title/tt0078788/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20210714064312/https://www.imdb.com/title/tt0119698/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20220109171247/https://www.imdb.com/title/tt0364569/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20220325181512/https://www.imdb.com/title/tt0910970/?ref_=adv_li_tt
Taare Zameen Par ,2007,2h 45min,Drama,8.4,http://web.archive.org/web/20200724145354/https://www.imdb.com/title/tt0986264/?ref_=adv_li_tt
Django Unchained ,2012,2h 45min,Drama,8.4,http://web.archive.org/web/20210225021748/http://www.imdb.com/title/tt1853728/?ref_=adv_li_tt
Coco ,2017,1h 45min,Animation,8.4,http://web.archive.org/web/20210308133227/https://www.imdb.com/title/tt2380307/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20211008191510/https://www.imdb.com/title/tt4154796/?ref_=adv_li_tt
The Lives of Others ,2006,2h 17min,Drama,8.4,http://web.archive.org/web/20190125201925/https://www.imdb.com/title/tt0405094/?ref_=adv_li_tt
